Date,Open,High,Low,Close,Adj Close,Volume
24-08-2015,26730.40039,26730.40039,25624.7207,25741.56055,25741.56055,26000
25-08-2015,25916.25977,26124.83008,25298.41992,26032.38086,26032.38086,21200
26-08-2015,26063.26953,26156.60938,25657.56055,25714.66016,25714.66016,13400
27-08-2015,26137.0293,26302.76953,25943.75,26231.18945,26231.18945,18600
28-08-2015,26542.83984,26687.33008,26270.16992,26392.38086,26392.38086,12100
31-08-2015,26469.41992,26504.73047,26215.16016,26283.08984,26283.08984,10000
01-09-2015,26127.03906,26141.07031,25579.88086,25696.43945,25696.43945,14000
02-09-2015,25891.94922,25939.36914,25395.08984,25453.56055,25453.56055,16200
03-09-2015,25614.68945,25835.41016,25555.76953,25764.7793,25764.7793,11300
04-09-2015,25772.58008,25775.38086,25119.06055,25201.90039,25201.90039,14100
07-09-2015,25302.98047,25387.32031,24851.76953,24893.81055,24893.81055,12800
08-09-2015,24972.00977,25411,24833.53906,25317.86914,25317.86914,12600
09-09-2015,25682.86914,25820.56055,25553.60938,25719.58008,25719.58008,14400
10-09-2015,25522.96094,25733.69922,25287.5,25622.16992,25622.16992,14600
11-09-2015,25793.76953,25875.96094,25530.41016,25610.21094,25610.21094,11800
14-09-2015,25706.86914,25891.73047,25531.07031,25856.69922,25856.69922,8800
15-09-2015,25908.33984,25909.83008,25649.36914,25705.92969,25705.92969,11200
16-09-2015,25884.05078,26006.75,25816.5,25963.9707,25963.9707,9600
18-09-2015,26130.35938,26471.82031,26130.35938,26218.91016,26218.91016,56600
21-09-2015,26107.98047,26233.46094,25972.53906,26192.98047,26192.98047,8100
22-09-2015,26274.36914,26339.09961,25571.33984,25651.83984,25651.83984,13600
23-09-2015,25526.5293,25934.01953,25386.48047,25822.99023,25822.99023,11700
24-09-2015,25798.05078,25949.90039,25670.96094,25863.5,25863.5,11800
28-09-2015,25922.71094,25936.89063,25593.56055,25616.83984,25616.83984,11700
29-09-2015,25496.38086,26054.36914,25287.33008,25778.66016,25778.66016,20700
30-09-2015,25986.51953,26179.69922,25918.21094,26154.83008,26154.83008,27500
01-10-2015,26344.18945,26431.80078,26168.71094,26220.94922,26220.94922,11000
05-10-2015,26379.41992,26822.41992,26375.31055,26785.55078,26785.55078,11400
06-10-2015,26976.66016,27010.26953,26751.25,26932.88086,26932.88086,13600
07-10-2015,26966.85938,27082.2793,26877.50977,27035.84961,27035.84961,17100
08-10-2015,27116.85938,27120.10938,26762.35938,26845.81055,26845.81055,14900
09-10-2015,26974.91992,27200.43945,26910.58984,27079.50977,27079.50977,18800
12-10-2015,27242.59961,27305.03906,26855.75,26904.10938,26904.10938,18400
13-10-2015,26874.28906,26918.51953,26719.09961,26846.5293,26846.5293,10800
14-10-2015,26760.32031,26869.08008,26713.2793,26779.66016,26779.66016,10900
15-10-2015,26842.18945,27037.94922,26836.76953,27010.14063,27010.14063,12700
16-10-2015,27062.80078,27239.2207,26917.11914,27214.59961,27214.59961,10200
19-10-2015,27305.61914,27387.91016,27246.78906,27364.91992,27364.91992,8200
20-10-2015,27402.90039,27432.07031,27216.40039,27306.83008,27306.83008,9200
21-10-2015,27312.34961,27445.24023,27190.55078,27287.66016,27287.66016,9700
23-10-2015,27466.64063,27555.06055,27421.71094,27470.81055,27470.81055,9900
26-10-2015,27575.03906,27618.14063,27318.19922,27361.96094,27361.96094,11300
27-10-2015,27291.06055,27296.30078,27209.51953,27253.43945,27253.43945,10100
28-10-2015,27131.71094,27163.98047,26919.96094,27039.75977,27039.75977,10500
29-10-2015,27083.69922,27099.10938,26794.09961,26838.14063,26838.14063,9900
30-10-2015,26878.48047,26942.28906,26585.19922,26656.83008,26656.83008,14000
02-11-2015,26641.68945,26824.30078,26378.25977,26559.15039,26559.15039,8800
03-11-2015,26660.71094,26732.24023,26514.48047,26590.58984,26590.58984,8500
04-11-2015,26704.01953,26800.06055,26510.31055,26552.91992,26552.91992,8000
05-11-2015,26557.80078,26557.80078,26243.19922,26304.19922,26304.19922,12300
06-11-2015,26284.00977,26438.85938,26190.17969,26265.24023,26265.24023,15600
09-11-2015,25809,26193.16992,25656.90039,26121.40039,26121.40039,13300
10-11-2015,26094.08984,26094.08984,25709.23047,25743.25977,25743.25977,12800
13-11-2015,25724.08984,25724.08984,25540.73047,25610.5293,25610.5293,11500
16-11-2015,25580.15039,25866.41992,25451.41992,25760.09961,25760.09961,11300
17-11-2015,25897.88086,25948.19922,25732.78906,25864.4707,25864.4707,10700
18-11-2015,25837.71094,25890.35938,25453.32031,25482.51953,25482.51953,16100
19-11-2015,25640.33984,25884.51953,25603.09961,25841.91992,25841.91992,9900
20-11-2015,25856.13086,26058.75977,25769.81055,25868.49023,25868.49023,10000
23-11-2015,25945.14063,25958.03906,25747.00977,25819.33984,25819.33984,10100
24-11-2015,25785.60938,25901.56055,25703.85938,25775.74023,25775.74023,7500
26-11-2015,25769.81055,26016.03906,25769.81055,25958.63086,25958.63086,8400
27-11-2015,26003.19922,26184.65039,25937.32031,26128.19922,26128.19922,10400
30-11-2015,26142.5293,26231.06055,26089.13086,26145.66992,26145.66992,8300
01-12-2015,26201.26953,26246.01953,26121.51953,26169.41016,26169.41016,11000
02-12-2015,26239.39063,26256.41992,26041.67969,26117.84961,26117.84961,10100
03-12-2015,26123.85938,26123.85938,25857.34961,25886.61914,25886.61914,9500
04-12-2015,25810.06055,25810.06055,25623.71094,25638.10938,25638.10938,10500
07-12-2015,25746.0293,25785.5293,25477.68945,25530.10938,25530.10938,8700
08-12-2015,25488.41992,25542.4707,25256.78906,25310.33008,25310.33008,12600
09-12-2015,25299.33984,25316.94922,25012.2207,25036.05078,25036.05078,11600
10-12-2015,25136.71094,25289.58008,25034.14063,25252.32031,25252.32031,10900
11-12-2015,25281.76953,25316.14063,24930.42969,25044.42969,25044.42969,14900
14-12-2015,24935.59961,25194.15039,24867.73047,25150.34961,25150.34961,11600
15-12-2015,25186.67969,25342.7793,25075.53906,25320.43945,25320.43945,9700
16-12-2015,25402.4707,25572.90039,25372.4707,25494.36914,25494.36914,10800
17-12-2015,25596.63086,25831.31055,25448.32031,25803.7793,25803.7793,22700
18-12-2015,25764.66992,25789.50977,25481.50977,25519.2207,25519.2207,10400
21-12-2015,25425.32031,25757.83984,25413.53906,25735.90039,25735.90039,8100
22-12-2015,25731.07031,25787.21094,25485.16992,25590.65039,25590.65039,8100
23-12-2015,25697.66016,25875.26953,25689.69922,25850.30078,25850.30078,6900
24-12-2015,25893.83984,25922.4707,25763.40039,25838.71094,25838.71094,4900
28-12-2015,25858.51953,26073.41016,25856.85938,26034.13086,26034.13086,6900
29-12-2015,26075.67969,26133.7793,25994.44922,26079.48047,26079.48047,6000
30-12-2015,26123.86914,26130.19922,25939.25,25960.0293,25960.0293,6500
31-12-2015,25980.85938,26147.63086,25941.91016,26117.53906,26117.53906,6200
01-01-2016,27407.01572,27537.33091,27198.17622,27354.42221,27354.42221,11748.90557
04-01-2016,26116.51953,26116.51953,25596.57031,25623.34961,25623.34961,9100
05-01-2016,25744.69922,25766.75977,25513.75,25580.33984,25580.33984,10300
06-01-2016,25628.23047,25632.57031,25357.69922,25406.33008,25406.33008,13400
07-01-2016,25224.69922,25230.34961,24825.69922,24851.83008,24851.83008,11800
08-01-2016,24969.01953,25083.55078,24887.2207,24934.33008,24934.33008,15900
11-01-2016,24787.10938,24961.88086,24598.90039,24825.03906,24825.03906,10600
12-01-2016,24862.92969,24882.30078,24597.10938,24682.0293,24682.0293,10300
13-01-2016,24804.64063,24956.53906,24387.68945,24854.10938,24854.10938,14000
14-01-2016,24606.19922,25018.46094,24473.2207,24772.9707,24772.9707,14900
15-01-2016,24881.75977,24912.64063,24421.5293,24455.03906,24455.03906,12700
18-01-2016,24400.7793,24524.84961,24141.99023,24188.36914,24188.36914,13600
19-01-2016,24257.2793,24563.33984,24247.23047,24479.83984,24479.83984,9400
20-01-2016,24325.76953,24325.76953,23839.75977,24062.03906,24062.03906,12800
21-01-2016,24194.75,24351.83008,23862,23962.21094,23962.21094,13200
22-01-2016,24122.06055,24472.88086,24120.03906,24435.66016,24435.66016,10100
25-01-2016,24540.9707,24650.57031,24433.66992,24485.94922,24485.94922,8900
27-01-2016,24643.13086,24645.69922,24458.13086,24492.39063,24492.39063,8500
28-01-2016,24481.85938,24587.19922,24400.51953,24469.57031,24469.57031,8400
29-01-2016,24347.31055,24911.90039,24340.06055,24870.68945,24870.68945,12400
01-02-2016,24982.2207,25002.32031,24788.58008,24824.83008,24824.83008,10100
02-02-2016,24868.21094,24928.75,24460.5293,24539,24539,12700
03-02-2016,24393.58984,24409.25977,24187.53906,24223.32031,24223.32031,12200
04-02-2016,24386.44922,24514.00977,24224.74023,24338.42969,24338.42969,12200
05-02-2016,24360.35938,24672.90039,24345.78906,24616.9707,24616.9707,13400
08-02-2016,24637.41016,24698.94922,24196.83984,24287.41992,24287.41992,11700
09-02-2016,24076.84961,24111.18945,23919.4707,24020.98047,24020.98047,11500
10-02-2016,23938.32031,23938.32031,23636.7207,23758.90039,23758.90039,19400
11-02-2016,23758.46094,23758.46094,22909.11914,22951.83008,22951.83008,23200
12-02-2016,23060.39063,23161.15039,22600.39063,22986.11914,22986.11914,25100
15-02-2016,23223.42969,23622.64063,23197.66992,23554.11914,23554.11914,20400
16-02-2016,23688.60938,23692.08008,23164.53906,23191.9707,23191.9707,22200
17-02-2016,23237.23047,23434.91016,22920.83984,23381.86914,23381.86914,16600
18-02-2016,23536.4707,23735.34961,23448.21094,23649.2207,23649.2207,15700
19-02-2016,23640.32031,23774.48047,23508.35938,23709.15039,23709.15039,11600
22-02-2016,23783.4707,23855.03906,23674.85938,23788.78906,23788.78906,9500
23-02-2016,23850.41016,23851.50977,23361.93945,23410.17969,23410.17969,16700
24-02-2016,23332.93945,23338.89063,23057.44922,23088.92969,23088.92969,14000
25-02-2016,23105.16016,23142.96094,22948.09961,22976,22976,15900
26-02-2016,23141.08008,23227.91016,23021.93945,23154.30078,23154.30078,11500
29-02-2016,23238.5,23343.2207,22494.60938,23002,23002,58900
01-03-2016,23153.32031,23821.49023,23133.17969,23779.34961,23779.34961,15700
02-03-2016,24044.96094,24280.41992,24043.89063,24242.98047,24242.98047,22800
